Date,Price
9/23/20,40.22
9/22/20,39.8
9/21/20,39.54
9/18/20,41.32
9/17/20,41.22
9/16/20,40.41
9/15/20,38.55
9/14/20,37.56
9/11/20,37.65
9/10/20,37.66
9/9/20,38.41
9/8/20,37.19
9/7/20,39.2
9/6/20,38.75
9/4/20,40.15
9/3/20,41.72
9/2/20,41.85
9/1/20,43.08
8/31/20,42.9
8/28/20,43.29
8/27/20,43.31
8/26/20,43.69
8/25/20,43.65
8/24/20,42.93
8/21/20,42.62
8/20/20,42.82
8/19/20,43.11
8/18/20,43.12
8/17/20,43.17
8/14/20,42.31
8/13/20,42.52
8/12/20,42.95
8/11/20,41.87
8/10/20,42.17
8/7/20,41.49
8/6/20,42.2
8/5/20,42.43
8/4/20,41.91
8/3/20,41.31
7/31/20,40.57
7/30/20,40.24
7/29/20,41.54
7/28/20,41.28
7/27/20,41.8
7/24/20,41.45
7/23/20,41.21
7/22/20,42.04
7/21/20,41.92
7/20/20,40.92
7/17/20,40.75
7/16/20,40.93
7/15/20,41.4
7/14/20,40.55
7/13/20,40.32
7/10/20,40.76
7/9/20,39.83
7/8/20,41.04
7/7/20,40.7
7/6/20,40.73
7/3/20,40.28
7/2/20,40.76
7/1/20,39.92
6/30/20,39.34
6/29/20,39.81
6/26/20,38.65
6/25/20,38.91
6/24/20,38.21
6/23/20,40.51
6/22/20,40.73
6/19/20,39.83
6/18/20,39.05
6/17/20,38.21
6/16/20,38.65
6/15/20,37.43
6/12/20,36.51
6/11/20,36.57
6/10/20,39.78
6/9/20,39.16
6/8/20,38.43
6/5/20,39.8
6/4/20,37.72
6/3/20,37.59
6/2/20,37.06
6/1/20,35.79
5/29/20,35.84
5/28/20,34.06
5/27/20,33.23
5/26/20,34.77
5/25/20,33.92
5/24/20,32.9
5/22/20,33.65
5/21/20,34.34
5/20/20,33.94
5/19/20,31.96
5/18/20,31.65
5/15/20,29.52
5/14/20,27.88
5/13/20,25.68
5/12/20,26.33
5/11/20,25.08
5/8/20,26.17
5/7/20,24.83
5/6/20,25.62
5/5/20,26.49
5/4/20,22.78
5/1/20,22.29
4/30/20,21.85
4/29/20,19.12
4/28/20,17.6
4/27/20,18.08
4/24/20,21.22
4/23/20,21.44
4/22/20,20.69
4/21/20,11.57
4/20/20,20.43
4/17/20,25.03
4/16/20,25.53
4/15/20,26.04
4/14/20,27.4
4/13/20,29.26
4/9/20,28.82
4/8/20,30.17
4/7/20,28.69
4/6/20,29.98
4/3/20,30.9
4/2/20,28.05
4/1/20,23.74
